banco,primer_mes,ultimo_mes,meses,registros,creditos
BBVA Colombia,2023-09,2026-03,31,156752,333561
Banco AV Villas,2023-09,2026-03,31,49970,80873
Banco Agrario,2023-09,2026-03,31,10905,11001
Banco Caja Social,2023-09,2026-03,31,138447,196698
Banco Davibank,2023-09,2026-03,31,101294,797150
Banco Davivienda,2023-09,2026-03,31,314964,772509
Banco Falabella,2023-09,2026-03,31,198912,534597
Banco GNB Sudameris,2023-09,2026-03,31,282,311
Banco Mundo Mujer,2023-09,2026-03,31,125958,209524
Banco Popular,2023-09,2026-03,31,1543,1938
Banco Serfinanza,2023-09,2026-03,31,15413,20308
Banco Unión,2023-09,2026-03,31,555,582
Banco de Bogotá,2023-09,2026-03,31,424836,1088530
Banco de Occidente,2023-09,2026-03,31,39933,83433
Bancolombia,2023-09,2026-03,31,480581,1453118
Bancoomeva,2023-09,2026-03,31,29026,35150
Coopcentral,2023-09,2026-03,31,407,408
Finandina,2023-09,2026-03,31,11270,16319
Itaú,2023-09,2026-03,31,25375,45138
Lulo Bank,2023-09,2026-03,31,88932,166038
MiBanco,2023-09,2026-03,24,98,98
Banco Santander,2024-05,2026-03,17,137,170
Bancien,2023-09,2026-01,15,3560,4709
Banco Pichincha,2023-09,2025-05,12,387,463
Banco Contactar,2024-03,2025-12,8,2845,3125
