banco,banco_original,primer_mes,ultimo_mes,registros,creditos
BBVA Colombia,BBVA Colombia,2023-09,2026-03,156752,333561
Bancien,Bancien,2023-09,2026-01,3560,4709
Banco AV Villas,AV Villas,2023-09,2026-03,49970,80873
Banco Agrario,Banagrario,2023-09,2026-03,10905,11001
Banco Caja Social,Banco Caja Social S.A.,2023-09,2026-03,138447,196698
Banco Contactar,Banco Contactar,2024-03,2025-12,2845,3125
Banco Davibank,Scotiabank Colpatria S.A.,2023-09,2025-09,82071,738047
Banco Davibank,Banco Davibank,2025-10,2026-03,19223,59103
Banco Davivienda,Banco Davivienda,2023-09,2026-03,314964,772509
Banco Falabella,Banco Falabella S.A.,2023-09,2026-03,198912,534597
Banco GNB Sudameris,Banco GNB Sudameris,2023-09,2026-03,282,311
Banco Mundo Mujer,Banco Mundo Mujer S.A.,2023-09,2026-03,125958,209524
Banco Pichincha,Banco Pichincha S.A.,2023-09,2025-05,387,463
Banco Popular,Banco Popular,2023-09,2026-03,1543,1938
Banco Santander,Banco Santander,2024-05,2026-03,137,170
Banco Serfinanza,Banco Serfinanza S.A.,2023-09,2026-03,15413,20308
Banco Unión,Banco Unión,2023-09,2026-03,555,582
Banco de Bogotá,Banco de Bogotá,2023-09,2026-03,424836,1088530
Banco de Occidente,Banco de Occidente,2023-09,2026-03,39933,83433
Bancolombia,Bancolombia,2023-09,2026-03,480581,1453118
Bancoomeva,Bancoomeva,2023-09,2026-03,29026,35150
Coopcentral,Coopcentral,2023-09,2026-03,407,408
Finandina,Finandina,2023-09,2026-03,11270,16319
Itaú,Itaú,2023-09,2026-03,25375,45138
Lulo Bank,Lulo Bank,2023-09,2026-03,88932,166038
MiBanco,Mibanco S.A.,2023-09,2026-03,98,98
