rango_original,clave_rango_original,registros,primer_mes,ultimo_mes,meses,fechas_corte,bancos,creditos_reportados,tasa_minima,tasa_maxima
N/A,n a,12933,2022-07,2023-09,15,65,24,3136621,0.0,47.09
Mayor a 3 SMLMV menor o igual a 6 SMLMV,mayor a 3 smlmv menor o igual a 6 smlmv,486957,2023-09,2026-03,31,131,26,1159575,0.0,43.39
Mayor a 1 SMLMV menor o igual a 3 SMLMV,mayor a 1 smlmv menor o igual a 3 smlmv,458377,2023-09,2026-03,31,131,26,1249618,1.94,42.05
Mayor a 6 SMLMV menor o igual a 12 SMLMV,mayor a 6 smlmv menor o igual a 12 smlmv,438676,2023-09,2026-03,31,131,26,1001476,0.0,42.05
Mayor a 12 SMLMV menor o igual a 25 SMLMV,mayor a 12 smlmv menor o igual a 25 smlmv,319399,2023-09,2026-03,31,131,26,700965,0.0,42.05
Hasta 1 SMLMV,hasta 1 smlmv,199484,2023-09,2026-03,31,131,24,521996,0.0,42.05
Mayor a 25 SMLMV menor o igual a 50 SMLMV,mayor a 25 smlmv menor o igual a 50 smlmv,196901,2023-09,2026-03,31,131,24,414882,0.0,42.05
Mayor a 50 SMLMV menor o igual a 100 SMLMV,mayor a 50 smlmv menor o igual a 100 smlmv,85400,2023-09,2026-03,31,131,23,192849,0.0,42.04
Mayor a 100 SMLMV menor o igual a 150 SMLMV,mayor a 100 smlmv menor o igual a 150 smlmv,23932,2023-09,2026-03,31,131,21,53471,0.0,41.91
Mayor a 150 SMLMV menor o igual a 300 SMLMV,mayor a 150 smlmv menor o igual a 300 smlmv,10188,2023-09,2026-03,31,131,21,43014,4.03,42.04
Mayor 300 SMLMV,mayor 300 smlmv,3068,2023-09,2026-03,31,131,14,517905,4.5,42.04
