banco,rango_orden,rango_monto,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
Bancolombia,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,641685,13553.0,21.948839179800036,36.68558916844979,4.572849755031447,31,1.0,True
Banco Davibank,6,Mayor a 100 SMLMV,2023-09,2026-03,31,29,574174,6168.0,20.267688067444876,41.828934432077624,5.9070033554920975,31,1.0,True
Banco de Bogotá,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,398373,12404.0,23.87941534460338,37.25532175689479,4.460377631160963,31,1.0,True
Banco de Bogotá,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,300010,9757.0,23.6073846390879,36.538372429771215,4.329407865821253,31,1.0,True
Bancolombia,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,246880,8606.0,22.10983949875547,32.95022566995769,3.4738490739201957,31,1.0,True
Banco de Bogotá,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,219346,6894.0,23.14285822347093,35.332474170744966,4.088110990896903,31,1.0,True
Bancolombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,208780,6239.0,20.929514184828932,31.455166666666667,3.46097006557113,31,1.0,True
Banco Davivienda,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,187464,5557.0,21.112793670886077,32.476996658312444,3.681896637912782,31,1.0,True
Banco Falabella,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,186107,6145.0,23.07053978311198,37.774047494325124,4.7030019665289355,31,1.0,True
Bancolombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,176153,5454.0,19.36099427168576,30.52426940639269,3.538235048753228,31,1.0,True
Banco Davivienda,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,171992,5013.0,21.88698263501673,32.903912817851584,3.589189987230066,31,1.0,True
Banco Falabella,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,169725,5648.0,23.219133736246707,37.92480812220566,4.702961328081472,31,1.0,True
Banco Davivienda,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,167087,5509.0,19.759501506024097,31.41181510710259,3.6346897033445886,31,1.0,True
Bancolombia,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,163828,5127.0,18.05439510703364,28.476577480490526,3.325595990709118,31,1.0,True
Banco Davivienda,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,160695,4961.0,21.530964681075382,32.59056030389364,3.5704812641211223,31,1.0,True
Banco Mundo Mujer,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,122685,3826.0,24.3765666316894,41.923511777301925,5.143826813778415,31,1.0,True
Banco Falabella,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,113181,3384.0,22.510976888253516,37.550701017249004,4.192826795785751,31,1.0,True
Banco Davibank,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,101975,1926.0,20.56574879227053,41.13461382701765,5.757955726640266,31,1.0,True
Banco de Bogotá,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,92573,3019.0,21.63298822240482,31.807261050245565,3.4217320467234327,31,1.0,True
Banco Davivienda,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,84924,3054.0,18.02497738486842,29.71311095505618,3.366413488127514,31,1.0,True
BBVA Colombia,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,75137,1948.0,23.185015974440898,34.19153246753247,3.8397425866531067,31,1.0,True
BBVA Colombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,74457,2336.0,21.28711701526286,33.29043478260869,3.873482452827225,31,1.0,True
Lulo Bank,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,74412,2496.0,20.766874704491727,31.612374269005844,3.635946744399445,31,1.0,True
Banco de Bogotá,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,71845,2268.0,18.193894409937887,28.404742268041236,3.1556449546925407,31,1.0,True
BBVA Colombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,69820,2214.0,20.720600722673893,32.43815905743741,3.647249048637285,31,1.0,True
Banco Mundo Mujer,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,64624,2160.0,24.38631994261119,41.928121330724075,5.153000353776676,31,1.0,True
BBVA Colombia,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,60093,1858.0,21.986366782006918,34.35212802768166,3.9851057116651316,31,1.0,True
Banco Caja Social,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,59583,1821.0,23.647950789570327,36.75295206971678,4.331097188018301,31,1.0,True
Banco Caja Social,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,59024,1820.0,23.78086642599278,37.74373540856031,4.799310885788312,31,1.0,True
BBVA Colombia,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,52697,1670.0,19.538602469135803,29.80653395784543,3.004377264669201,31,1.0,True
Banco Caja Social,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,50599,1538.0,22.653874285714284,32.80446524064171,3.2977032261904813,31,1.0,True
Banco Falabella,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,46714,1566.0,20.837905405405404,35.297694575471695,4.137652465593568,31,1.0,True
Banco Davibank,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,44332,984.0,21.172187182095623,40.74649656526006,5.826945103832191,31,1.0,True
Banco de Occidente,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,43883,1272.0,18.772761752136752,27.67060569351908,2.7227010903103412,31,1.0,True
Lulo Bank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,38541,1224.0,21.079168241965974,31.033125000000002,3.2433414381949937,31,1.0,True
Lulo Bank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,35165,1176.0,20.553472920156334,30.92502232142857,3.4639731101626987,31,1.0,True
Banco Davibank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,32390,665.0,21.614031620553362,41.72940298507463,5.925586771942943,31,1.0,True
