banco,rango_orden,rango_monto,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
Coopcentral,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,30,28,86,2.0,16.0,29.0,3.5014430087517163,31,0.967741935483871,False
Banco Serfinanza,6,Mayor a 100 SMLMV,2023-09,2026-03,29,27,90,3.0,12.55,25.53,3.8435443770113595,31,0.9354838709677419,False
Coopcentral,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,28,26,71,2.0,16.0,29.0,3.520287525918609,31,0.9032258064516129,False
Banco Unión,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-10,2026-03,28,26,55,2.0,22.195,39.45,4.533750140002624,30,0.9333333333333333,False
Coopcentral,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,26,24,92,2.5,14.695,25.5,3.1294419263101036,31,0.8387096774193549,False
Banco GNB Sudameris,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,25,23,77,2.0,14.0175,25.416666666666668,3.833045688748966,31,0.8064516129032258,False
Banco GNB Sudameris,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-10,2026-03,24,22,93,3.0,14.436666666666667,26.82,3.586657741242958,30,0.8,False
Banco Unión,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-11,2026-03,24,22,48,2.0,15.88,37.99,4.568716242938966,29,0.8275862068965517,False
Banco GNB Sudameris,6,Mayor a 100 SMLMV,2023-10,2026-03,22,20,43,2.0,12.0,24.97,3.770249090732445,30,0.7333333333333333,False
MiBanco,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-10,2026-03,21,19,47,2.0,24.45,39.5,4.812649453461648,30,0.7,False
Banco Popular,1,Menor o igual a 3 SMLMV,2023-09,2026-02,20,18,101,2.0,24.09,34.669999999999995,4.0427194561658615,30,0.6666666666666666,False
Banco GNB Sudameris,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-10,2026-03,20,18,58,1.5,12.72,27.24,3.672336530755621,30,0.6666666666666666,False
MiBanco,1,Menor o igual a 3 SMLMV,2023-09,2026-03,18,16,38,2.0,24.45,41.75,5.5847724968600865,31,0.5806451612903226,False
Coopcentral,1,Menor o igual a 3 SMLMV,2023-10,2026-03,18,16,37,2.0,12.0,28.0,4.025411407636024,30,0.6,False
Banco GNB Sudameris,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-10,2026-03,18,16,32,1.0,14.3,26.22,4.0341621246862465,30,0.6,False
Banco Santander,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2024-09,2026-03,15,13,54,2.0,4.5,11.045,1.8751651990716773,19,0.7894736842105263,False
Bancien,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2024-09,13,11,1603,125.0,14.03,39.8,6.7256567706718196,13,1.0,False
Banco Santander,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2024-09,2026-03,13,11,37,3.0,4.5,17.59,3.905450321496257,19,0.6842105263157895,False
Bancien,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2024-08,12,10,2681,245.0,29.153673469387755,39.8,3.802062994139355,12,1.0,False
Bancien,1,Menor o igual a 3 SMLMV,2023-09,2024-08,12,10,314,25.5,29.154615384615383,39.8,3.8113000797914323,12,1.0,False
Banco Santander,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2024-09,2026-03,12,10,43,3.0,4.5,17.59,5.101368209139471,19,0.631578947368421,False
Banco Agrario,6,Mayor a 100 SMLMV,2024-08,2026-03,12,10,25,1.0,21.6,25.9,1.2954725617507916,20,0.6,False
Banco Popular,6,Mayor a 100 SMLMV,2023-09,2026-03,11,9,44,1.0,18.86,27.835714285714285,2.6362964747576436,31,0.3548387096774194,False
Banco Pichincha,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2025-05,10,8,118,4.5,18.298947368421054,36.02333333333333,5.484024352206931,21,0.47619047619047616,False
Banco Santander,6,Mayor a 100 SMLMV,2024-05,2026-03,10,8,22,2.0,4.5,21.02,5.208885144101801,23,0.43478260869565216,False
Banco Unión,6,Mayor a 100 SMLMV,2024-02,2026-03,10,8,11,1.0,17.57,30.76,4.14969396461956,26,0.38461538461538464,False
Banco Pichincha,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-10,2024-11,9,7,161,11.0,19.0,29.486,3.5794117994341765,14,0.6428571428571429,False
Banco Pichincha,1,Menor o igual a 3 SMLMV,2023-10,2024-11,9,7,58,3.0,18.83555555555556,29.84,3.6503676083743772,14,0.6428571428571429,False
Coopcentral,6,Mayor a 100 SMLMV,2023-09,2026-02,9,7,10,1.0,14.0,20.0,2.403700850309326,30,0.3,False
Banco Contactar,1,Menor o igual a 3 SMLMV,2024-03,2025-12,8,6,1876,193.5,14.0,33.3,6.352424181817032,22,0.36363636363636365,False
Banco Pichincha,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-10,2024-11,8,6,80,8.0,18.73090909090909,22.258,1.3358708621901452,14,0.5714285714285714,False
MiBanco,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-11,2025-08,8,6,11,1.0,24.45,37.98,5.157261177906623,22,0.36363636363636365,False
Banco Contactar,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2024-03,2025-12,7,5,1135,166.0,24.98,33.3,2.850727303205677,22,0.3181818181818182,False
Banco Contactar,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2024-03,2025-12,7,5,109,14.0,24.98,33.3,2.850190727814734,22,0.3181818181818182,False
