mes,suma_tasa_credito,total_creditos,registros_fuente,fecha_minima,fecha_maxima,tasa_ponderada
2023-09,2640973.51,70333,16267,2023-09-29,2023-09-29,37.54956435812492
2023-10,10616246.93,288908,65739,2023-10-06,2023-10-27,36.74611616846885
2023-11,10514412.07,294188,65657,2023-11-03,2023-11-24,35.74045192190028
2023-12,11523630.56,327047,70220,2023-12-01,2023-12-29,35.23539601341703
2024-01,3407338.47,110003,47890,2024-01-05,2024-01-26,30.974959501104518
2024-02,3711529.33,121458,52901,2024-02-02,2024-02-23,30.55812980618815
2024-03,4236989.57,142154,63274,2024-03-01,2024-03-29,29.80563030234816
2024-04,3918603.01,134712,55974,2024-04-05,2024-04-26,29.088744952194308
2024-05,4978573.61,176040,72686,2024-05-03,2024-05-31,28.28092257441491
2024-06,3643356.25,130894,55122,2024-06-07,2024-06-28,27.834402264427705
2024-07,3709964.38,140340,58549,2024-07-05,2024-07-26,26.435544962234573
2024-08,4964277.5,190664,77603,2024-08-02,2024-08-30,26.036784605379097
2024-09,4267969.78,164854,67345,2024-09-06,2024-09-27,25.889391704174603
2024-10,4722546.07,183781,71136,2024-10-04,2024-10-25,25.696595785200866
2024-11,5527105.75,216275,86199,2024-11-01,2024-11-29,25.555916079066005
2024-12,3743936.73,153811,63262,2024-12-06,2024-12-27,24.341150697934477
2025-01,5405521.25,232019,86383,2025-01-03,2025-01-31,23.29775255474767
2025-02,4704874.8,197209,79180,2025-02-07,2025-02-28,23.857302658600773
2025-03,4418165.71,189706,75528,2025-03-07,2025-03-28,23.289541237493808
2025-04,5495463.31,233145,83572,2025-04-04,2025-04-25,23.5710107872783
2025-05,5950665.88,256266,102391,2025-05-02,2025-05-30,23.22066087580873
2025-06,3379728.73,150985,63712,2025-06-06,2025-06-27,22.384533099314503
2025-07,3758731.35,170999,70793,2025-07-04,2025-07-25,21.981013631658666
2025-08,4617992.7,209904,88316,2025-08-01,2025-08-29,22.00049879945118
2025-09,4252912.78,193035,79164,2025-09-05,2025-09-26,22.031822104799648
2025-10,5455139.52,250337,100971,2025-10-03,2025-10-31,21.791183564554977
2025-11,4412861.95,198740,81051,2025-11-07,2025-11-28,22.20419618597162
2025-12,4063983.36,180612,77139,2025-12-05,2025-12-26,22.501181316856023
2026-01,4566624.06,204077,89105,2026-01-02,2026-01-30,22.37696585112482
2026-02,4167228.94,181177,80130,2026-02-06,2026-02-27,23.00087174420594
2026-03,3809289.6,162078,75123,2026-03-06,2026-03-27,23.502817162107135
