nivel,modelo,split,r2,mae,rmse,smape,n
banco_rango,baseline_naive_lag1,test,0.7781977107666342,1.0897458002651923,1.6478978730873002,5.812223710133276,661
banco_rango,baseline_media_movil_3,test,0.800478656516624,1.0862757179011913,1.562938759179351,5.864560688235449,661
banco_rango,baseline_media_movil_6,test,0.8115962389659913,1.0935578222037847,1.518770193007312,5.913752551388608,661
banco_rango,baseline_tasa_actual,test,0.8104096703511529,0.9345986109762697,1.5235453006920319,5.123786517947351,661
banco,baseline_naive_lag1,test,0.85614544629146,1.0787053341899773,1.4741800651778698,6.225560423034322,126
banco,baseline_media_movil_3,test,0.8679764923729336,1.0494960258414658,1.4122590309072371,5.819500951647649,126
banco,baseline_media_movil_6,test,0.8752400958509674,1.036162896078539,1.3728599740915142,5.73004497716362,126
banco,baseline_tasa_actual,test,0.8916647291719786,0.9000425915180507,1.279303723002797,5.3171981315198185,126
rango,baseline_naive_lag1,test,0.7195641438504224,0.6412703556254145,0.798569937237568,2.9625817706129425,36
rango,baseline_media_movil_3,test,0.6726003734818975,0.7021904832233523,0.8628499456380367,3.2300027626783856,36
rango,baseline_media_movil_6,test,0.6530951267803182,0.7574553741279373,0.8881808120968833,3.4650975817222998,36
rango,baseline_tasa_actual,test,0.7844748232118564,0.5356038151849646,0.7000760029411295,2.497879846313462,36
total,baseline_naive_lag1,test,-1.1337020164656053,0.695111251431495,0.8084391590649266,3.0974698224996415,6
total,baseline_media_movil_3,test,-1.9103494799922283,0.8162052750010839,0.9441761574153812,3.6269413623518028,6
total,baseline_media_movil_6,test,-2.0675587964753723,0.8205464916169524,0.9693417215684117,3.624895155178153,6
total,baseline_tasa_actual,test,-0.23999363985554645,0.5411633926226292,0.6162971886507475,2.404778058576674,6
banco_rango,ridge,test,0.5079027515969623,2.008045045874841,2.4545548954656264,10.630110685365967,661
banco_rango,elasticnet,test,0.7431402592746028,1.3438121432402685,1.7733534371028588,7.152908099347931,661
banco_rango,random_forest,test,0.7729892862230361,1.3059773898679916,1.6671338060983105,6.837136699443825,661
banco_rango,extra_trees,test,0.7728066459867905,1.2849637810284402,1.667804312984696,6.712798226995298,661
banco_rango,hist_gradient_boosting,test,0.7741238615743488,1.3057225063882292,1.6629625091104405,6.88463626447325,661
banco_rango,xgboost,test,0.7865653557525529,1.3049316047511266,1.6165149981057958,6.728906015947896,661
banco,ridge,test,0.5606514301868222,2.1683140758116615,2.5762816226814023,11.989442277049026,126
banco,elasticnet,test,0.5617532735569346,2.167791380606393,2.573049063130985,11.973466523640445,126
banco,random_forest,test,0.8083693305733752,1.3870938728348639,1.7014580090853657,7.3473585244700805,126
banco,extra_trees,test,0.8202171996970634,1.3476647759350524,1.6480212126203861,7.134408182931386,126
banco,hist_gradient_boosting,test,0.6734192091104321,1.546009635638616,2.221181488167301,9.118385717892883,126
banco,xgboost,test,0.6941224862550982,1.646178121167152,2.149624002869177,9.400377746570529,126
rango,ridge,test,-0.1655513846360539,1.350676649477581,1.6280281073672076,6.402766720776178,36
rango,elasticnet,test,-0.193997678169205,1.3628659053130237,1.6477750679876093,6.479526695051402,36
rango,random_forest,test,0.24617447813544957,1.0573421131539211,1.3092771991293657,4.899157347788536,36
rango,extra_trees,test,0.5697389005743563,0.8083610463794908,0.989150164508572,3.702802966624389,36
rango,hist_gradient_boosting,test,0.310406563616094,1.0230181342811382,1.252254917608062,4.729001253689312,36
rango,xgboost,test,0.4175962225470683,0.9488313138153686,1.150822323845831,4.379930135297679,36
total,ridge,test,-1.2634609553534215,0.680576312736464,0.8326585799215807,3.015142616768092,6
total,elasticnet,test,-4.669754792929273,1.1622976925542907,1.3178397293661042,5.256758988505022,6
total,random_forest,test,-0.3944715845370128,0.4940065948382202,0.6535597414804467,2.187508616245556,6
total,extra_trees,test,-0.7574293471823117,0.5903252962568697,0.7337014798198671,2.6224833360562845,6
total,hist_gradient_boosting,test,-3.3532174151668217,0.9652841652496461,1.1547437937553204,4.19350903608058,6
total,xgboost,test,-2.1255121234420153,0.8463774611823242,0.9784554390175998,3.695835774814346,6
