number,value,params_alpha,user_attrs_mae_valid,user_attrs_rmse_valid,user_attrs_smape_valid,state,nivel,familia,params_l1_ratio,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_colsample_bytree,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample
0,0.7212198249299551,0.041858227295469716,1.3483721226552638,1.9497897981511183,7.462590670329296,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
1,0.6249198218501568,451.85609510240965,1.9210891169902011,2.2616162047889716,10.317363439415862,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
2,0.6440700157602828,13.3032451015229,1.8715323602867135,2.2031249973464013,10.15896560161721,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
3,0.7186979199242536,1.55099139875943,1.5557918225018295,1.9585890504502605,8.493382397149235,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
4,0.7196177753566881,0.0012363188277052211,1.3393679344229745,1.9553841434513124,7.420561061884875,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
5,0.7196177549824514,0.0012358382772306934,1.3393678244230187,1.95538421449622,7.420560541661398,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
6,0.7195760976786634,0.00025502648504032837,1.3391430274628715,1.9555294680034778,7.419497081741115,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
7,0.6100389205461909,115.67327199145953,1.98528286809321,2.3060434313598157,10.654997960242623,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
8,0.7178415491457816,1.6136341713591311,1.561695524799939,1.9615680611810953,8.524457266893181,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
9,0.6564336780729096,9.047071957568372,1.8292023247734879,2.1645226924806154,9.946409708770892,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
10,0.7212182579974583,0.04181541491912686,1.348362458990214,1.949795277709883,7.4625459443368864,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
11,0.7212924443141759,0.04384978187324618,1.3488205850725412,1.9495358314611997,7.464665113359602,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
12,0.7207700900577494,0.029837668744492403,1.3457194490152329,1.951361888232617,7.45032678048923,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
13,0.721990985476106,0.06379392055618104,1.3532117933037187,1.9470911804686313,7.484855306770584,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
14,0.725747058316959,0.21008469056904142,1.3830016990639726,1.9338932509048505,7.622618673892602,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
15,0.7276192862135497,0.35007694079467766,1.4082799473569922,1.9272809437691696,7.740906023572033,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
16,0.7283245560052491,0.5839082727519415,1.4444320198591227,1.9247841920291011,7.9174126647343375,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
17,0.7283663475066067,0.5364321346032482,1.4375791044005453,1.9246361427359606,7.883263176915012,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
18,0.6386308853436917,16.31647335758847,1.890066567796513,2.219894659131146,10.24838666029271,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
19,0.7198162047767217,0.005956206078345206,1.340441790850096,1.9546920981277363,7.425632193571335,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
20,0.7178237271891564,1.6149327689917015,1.5618158500689798,1.961630009403428,8.525090157459578,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
21,0.7279202272159901,0.3896827361483827,1.414852981584976,1.9262159672093735,7.770991722237302,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
22,0.7279651051129771,0.3967820424141215,1.41599924034713,1.9260571018777386,7.7762095402292575,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
