banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base
BBVA Colombia,6,Mayor a 100 SMLMV,BBVA Colombia | Mayor a 100 SMLMV,banco_rango,BBVA Colombia | Mayor a 100 SMLMV,baseline_media_movil_6,2026-03,2026-06,22.46875,20.298647814108087,8.0
BBVA Colombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,BBVA Colombia | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,BBVA Colombia | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_media_movil_6,2026-03,2026-06,24.250097046413504,22.789439323564945,2370.0
BBVA Colombia,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,BBVA Colombia | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,BBVA Colombia | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_media_movil_6,2026-03,2026-06,23.49765186915888,21.592266455873357,1712.0
BBVA Colombia,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,BBVA Colombia | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,BBVA Colombia | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_media_movil_6,2026-03,2026-06,24.95781656616947,23.67172239370305,3151.0
BBVA Colombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,BBVA Colombia | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,BBVA Colombia | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_media_movil_6,2026-03,2026-06,24.86397961659792,23.230775649677266,4121.0
BBVA Colombia,1,Menor o igual a 3 SMLMV,BBVA Colombia | Menor o igual a 3 SMLMV,banco_rango,BBVA Colombia | Menor o igual a 3 SMLMV,baseline_media_movil_6,2026-03,2026-06,25.201111546755538,24.21357393446587,5101.0
Banco AV Villas,6,Mayor a 100 SMLMV,Banco AV Villas | Mayor a 100 SMLMV,banco_rango,Banco AV Villas | Mayor a 100 SMLMV,baseline_media_movil_6,2026-03,2026-06,18.805694444444445,17.003504035466417,72.0
Banco AV Villas,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco AV Villas | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco AV Villas | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_media_movil_6,2026-03,2026-06,20.879878787878788,18.755074251980645,660.0
Banco AV Villas,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco AV Villas | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco AV Villas | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_media_movil_6,2026-03,2026-06,19.19070133010883,17.386140501552656,827.0
Banco AV Villas,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco AV Villas | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco AV Villas | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_media_movil_6,2026-03,2026-06,22.885587863463968,21.42931016414632,791.0
Banco AV Villas,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco AV Villas | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco AV Villas | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_media_movil_6,2026-03,2026-06,21.204427244582043,19.997835340733968,969.0
Banco AV Villas,1,Menor o igual a 3 SMLMV,Banco AV Villas | Menor o igual a 3 SMLMV,banco_rango,Banco AV Villas | Menor o igual a 3 SMLMV,baseline_media_movil_6,2026-03,2026-06,22.893527607361964,22.096267953170752,326.0
Banco Agrario,6,Mayor a 100 SMLMV,Banco Agrario | Mayor a 100 SMLMV,banco,Banco Agrario,baseline_tasa_actual,2026-03,2026-06,22.62,22.73921658986175,3.0
Banco Agrario,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Agrario | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Agrario | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_media_movil_6,2026-03,2026-06,22.812608695652177,21.872514971188654,69.0
Banco Agrario,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Agrario | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Agrario | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_media_movil_6,2026-03,2026-06,22.64617021276596,21.962423147621948,47.0
Banco Agrario,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Agrario | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Agrario | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_media_movil_6,2026-03,2026-06,22.71185185185185,22.03366077204039,108.0
Banco Agrario,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Agrario | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Agrario | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_media_movil_6,2026-03,2026-06,22.766543209876545,21.96524434039252,162.0
Banco Agrario,1,Menor o igual a 3 SMLMV,Banco Agrario | Menor o igual a 3 SMLMV,banco_rango,Banco Agrario | Menor o igual a 3 SMLMV,baseline_media_movil_6,2026-03,2026-06,22.69911111111111,22.173355948133047,45.0
Banco Caja Social,6,Mayor a 100 SMLMV,Banco Caja Social | Mayor a 100 SMLMV,banco_rango,Banco Caja Social | Mayor a 100 SMLMV,baseline_media_movil_6,2026-03,2026-06,16.23,15.112221593765712,5.0
Banco Caja Social,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Caja Social | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Caja Social | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_media_movil_6,2026-03,2026-06,21.31183274021352,21.686202361382456,562.0
Banco Caja Social,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Caja Social | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Caja Social | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_media_movil_6,2026-03,2026-06,18.941716171617163,18.64446786377802,303.0
