nivel,modelo,split,r2,mae,rmse,smape,n
banco_rango,baseline_naive_lag1,test,0.7986989393916487,1.0106818149017558,1.5158176783609656,5.3071666497723,657
banco_rango,baseline_media_movil_3,test,0.8136673637995617,1.0009106211543983,1.4583722783226438,5.31945178944007,657
banco_rango,baseline_media_movil_6,test,0.8126423279544761,1.069974836764179,1.4623781080244862,5.739929074835905,657
banco_rango,baseline_tasa_actual,test,0.8167415569089015,0.8675771966697945,1.4462918286880886,4.703908531929423,657
banco,baseline_naive_lag1,test,0.8708796294643724,1.008192331581427,1.3606291697581319,5.7676276689092365,126
banco,baseline_media_movil_3,test,0.8815670695706888,0.9621662005185324,1.3031026655166156,5.366036286726149,126
banco,baseline_media_movil_6,test,0.881761986633063,1.0132400260090395,1.3020298999613706,5.562999709230251,126
banco,baseline_tasa_actual,test,0.8953441192122714,0.8487108682691581,1.2249665059598713,5.206187185876084,126
rango,baseline_naive_lag1,test,0.8003773774497273,0.5498280852048604,0.6676354221326865,2.5223800619070698,36
rango,baseline_media_movil_3,test,0.771782354514259,0.6016130001496007,0.7138535151234621,2.758186727018159,36
rango,baseline_media_movil_6,test,0.7025317303651882,0.7151211154276473,0.8149947586842763,3.2562708788101293,36
rango,baseline_tasa_actual,test,0.904801519754567,0.3924782343782414,0.46105156425292376,1.826880377913602,36
total,baseline_naive_lag1,test,-3.1660821651319413,0.6768142172437569,0.7797824939529475,3.026115981085831,6
total,baseline_media_movil_3,test,-4.5755220468961495,0.7886773280670134,0.9020951217651788,3.508536085781253,6
total,baseline_media_movil_6,test,-5.873543564391874,0.8417362303995546,1.0016129024879752,3.716399832736718,6
total,baseline_tasa_actual,test,-0.5987388024689335,0.43300925083325364,0.48305693722249166,1.9437186065938843,6
banco_rango,ridge,test,0.5965663723249713,1.6795931757495262,2.1459024911228477,8.959289849828304,657
banco_rango,elasticnet,test,0.770100914906572,1.1663913559748311,1.619916233885446,6.3011454329418415,657
banco_rango,random_forest,test,0.8067062066128348,1.1412471446918495,1.4853639892672348,5.991323489426577,657
banco_rango,extra_trees,test,0.8114059394785785,1.1684692774075518,1.4671953496306396,6.137993693203172,657
banco_rango,hist_gradient_boosting,test,0.8109148608147009,1.1617956183315001,1.469104317251494,6.093939842332093,657
banco_rango,xgboost,test,0.823641115445714,1.1177015321365174,1.4188046653730553,5.773966804434644,657
banco,ridge,test,0.6500728693068736,1.839470103452574,2.239913273382425,10.183559810775309,126
banco,elasticnet,test,0.6499236856172758,1.8454665230521268,2.2403906912353317,10.202103312085443,126
banco,random_forest,test,0.8268693517485419,1.2526847035257578,1.5755397804793132,6.757937980482611,126
banco,extra_trees,test,0.851410600976312,1.1444941040893686,1.459608247157183,6.297499557543556,126
banco,hist_gradient_boosting,test,0.7951536328866862,1.3182277601624244,1.7137857548869984,7.183023482944775,126
banco,xgboost,test,0.7517213604351374,1.3976148577637937,1.886740074488041,7.884241446746293,126
rango,ridge,test,0.15913115063526273,1.1397022957397547,1.370246256214377,5.484467003009334,36
rango,elasticnet,test,0.16525313571463818,1.1409353250155663,1.3652490729878937,5.492634474434864,36
rango,random_forest,test,0.47709409802192193,0.8547094320987696,1.080553474163747,3.99394151927023,36
rango,extra_trees,test,0.6050950198491419,0.7495117488149685,0.9390328762210816,3.4839004636331925,36
rango,hist_gradient_boosting,test,0.5920539813142789,0.7424634300358551,0.9544118912532336,3.4666210348656072,36
rango,xgboost,test,0.5438557231313217,0.8059393535986747,1.0092194395427971,3.772504470159735,36
total,ridge,test,-6.929757257941751,0.8658672474851326,1.0758197482377232,3.8217697903481875,6
total,elasticnet,test,-6.1879980190007275,0.906232792969431,1.0242678471063824,4.119663901609064,6
total,random_forest,test,-0.5410297736876977,0.38984870467090654,0.47425845308057796,1.7428487521642753,6
total,extra_trees,test,-0.22915786747726785,0.32766845634967723,0.4235584966895162,1.466707926902472,6
total,hist_gradient_boosting,test,-9.407359164606328,0.9967613732028836,1.232479876153536,4.344764650877944,6
total,xgboost,test,-1.176736101669659,0.5030802919399502,0.5636538213272282,2.2457024301288446,6
