banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base,modelo_recomendado,prediccion_original_tasa_t3,prediccion_recomendada_tasa_t3
BBVA Colombia,6,Mayor a 100 SMLMV,BBVA Colombia | Mayor a 100 SMLMV,banco_rango,BBVA Colombia | Mayor a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,19.889166666666664,19.889166666666664,24.0,baseline_tasa_actual,18.96611976623535,19.889166666666664
BBVA Colombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,BBVA Colombia | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,BBVA Colombia | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.406055396370583,23.406055396370583,2094.0,baseline_tasa_actual,21.739086151123047,23.406055396370583
BBVA Colombia,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,BBVA Colombia | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,BBVA Colombia | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.57286701208981,22.57286701208981,1737.0,baseline_tasa_actual,21.120485305786133,22.57286701208981
BBVA Colombia,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,BBVA Colombia | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,BBVA Colombia | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,24.53829001367989,24.53829001367989,3655.0,baseline_tasa_actual,22.727792739868164,24.53829001367989
BBVA Colombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,BBVA Colombia | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,BBVA Colombia | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.870644234714813,23.870644234714813,2437.0,baseline_tasa_actual,22.051490783691406,23.870644234714813
BBVA Colombia,1,Menor o igual a 3 SMLMV,BBVA Colombia | Menor o igual a 3 SMLMV,banco_rango,BBVA Colombia | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,24.81015120967742,24.81015120967742,4960.0,baseline_tasa_actual,23.506149291992188,24.81015120967742
Banco AV Villas,6,Mayor a 100 SMLMV,Banco AV Villas | Mayor a 100 SMLMV,banco_rango,Banco AV Villas | Mayor a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,17.35372881355932,17.35372881355932,59.0,baseline_tasa_actual,16.65436553955078,17.35372881355932
Banco AV Villas,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco AV Villas | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco AV Villas | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,19.31940949935815,19.31940949935815,779.0,baseline_tasa_actual,18.81977272033692,19.31940949935815
Banco AV Villas,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco AV Villas | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco AV Villas | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,17.848564257028112,17.848564257028112,996.0,baseline_tasa_actual,16.845476150512695,17.848564257028112
Banco AV Villas,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco AV Villas | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco AV Villas | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,21.45174033149172,21.45174033149172,724.0,baseline_tasa_actual,20.92445182800293,21.45174033149172
Banco AV Villas,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco AV Villas | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco AV Villas | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,20.34413990825688,20.34413990825688,872.0,baseline_tasa_actual,19.70615196228028,20.34413990825688
Banco AV Villas,1,Menor o igual a 3 SMLMV,Banco AV Villas | Menor o igual a 3 SMLMV,banco_rango,Banco AV Villas | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,21.729525691699603,21.729525691699603,253.0,baseline_tasa_actual,21.565649032592773,21.729525691699603
Banco Agrario,6,Mayor a 100 SMLMV,Banco Agrario | Mayor a 100 SMLMV,banco,Banco Agrario,baseline_tasa_actual,2026-02,2026-05,22.37,22.26154175588865,1.0,baseline_tasa_actual,22.26154175588865,22.26154175588865
Banco Agrario,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Agrario | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Agrario | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.0978021978022,22.0978021978022,91.0,baseline_tasa_actual,21.465295791625977,22.0978021978022
Banco Agrario,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Agrario | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Agrario | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.271463414634145,22.271463414634145,41.0,baseline_tasa_actual,21.296918869018555,22.271463414634145
Banco Agrario,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Agrario | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Agrario | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.31640350877193,22.31640350877193,114.0,baseline_tasa_actual,21.77554702758789,22.31640350877193
Banco Agrario,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Agrario | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Agrario | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.212191011235955,22.212191011235955,178.0,baseline_tasa_actual,21.6092472076416,22.212191011235955
Banco Agrario,1,Menor o igual a 3 SMLMV,Banco Agrario | Menor o igual a 3 SMLMV,banco_rango,Banco Agrario | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.66428571428572,22.66428571428572,42.0,baseline_tasa_actual,21.8488998413086,22.66428571428572
Banco Caja Social,6,Mayor a 100 SMLMV,Banco Caja Social | Mayor a 100 SMLMV,banco_rango,Banco Caja Social | Mayor a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,15.5125,15.5125,4.0,baseline_tasa_actual,15.506464958190918,15.5125
Banco Caja Social,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Caja Social | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Caja Social | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,21.373138686131387,21.373138686131387,548.0,baseline_tasa_actual,20.67631721496582,21.373138686131387
Banco Caja Social,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Caja Social | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Caja Social | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,18.08324427480916,18.08324427480916,262.0,baseline_tasa_actual,17.981773376464844,18.08324427480916
Banco Caja Social,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Caja Social | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Caja Social | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.82740520785747,23.82740520785747,2189.0,baseline_tasa_actual,22.355262756347656,23.82740520785747
Banco Caja Social,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Caja Social | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Caja Social | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.7986843730698,22.7986843730698,1619.0,baseline_tasa_actual,21.919160842895508,22.7986843730698
