banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base
BBVA Colombia,6,Mayor a 100 SMLMV,BBVA Colombia | Mayor a 100 SMLMV,banco_rango,BBVA Colombia | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,19.889166666666664,18.96611976623535,24.0
BBVA Colombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,BBVA Colombia | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,BBVA Colombia | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,23.406055396370583,21.739086151123047,2094.0
BBVA Colombia,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,BBVA Colombia | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,BBVA Colombia | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,22.57286701208981,21.120485305786133,1737.0
BBVA Colombia,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,BBVA Colombia | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,BBVA Colombia | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,24.53829001367989,22.727792739868164,3655.0
BBVA Colombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,BBVA Colombia | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,BBVA Colombia | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,23.870644234714813,22.051490783691406,2437.0
BBVA Colombia,1,Menor o igual a 3 SMLMV,BBVA Colombia | Menor o igual a 3 SMLMV,banco_rango,BBVA Colombia | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,24.81015120967742,23.506149291992188,4960.0
Banco AV Villas,6,Mayor a 100 SMLMV,Banco AV Villas | Mayor a 100 SMLMV,banco_rango,Banco AV Villas | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,17.35372881355932,16.65436553955078,59.0
Banco AV Villas,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco AV Villas | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco AV Villas | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,19.31940949935815,18.819772720336918,779.0
Banco AV Villas,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco AV Villas | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco AV Villas | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,17.848564257028112,16.845476150512695,996.0
Banco AV Villas,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco AV Villas | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco AV Villas | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,21.45174033149172,20.92445182800293,724.0
Banco AV Villas,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco AV Villas | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco AV Villas | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,20.34413990825688,19.706151962280277,872.0
Banco AV Villas,1,Menor o igual a 3 SMLMV,Banco AV Villas | Menor o igual a 3 SMLMV,banco_rango,Banco AV Villas | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,21.729525691699603,21.565649032592773,253.0
Banco Agrario,6,Mayor a 100 SMLMV,Banco Agrario | Mayor a 100 SMLMV,banco,Banco Agrario,baseline_tasa_actual,2026-02,2026-05,22.37,22.26154175588865,1.0
Banco Agrario,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Agrario | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Agrario | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,22.0978021978022,21.465295791625977,91.0
Banco Agrario,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Agrario | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Agrario | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,22.271463414634145,21.296918869018555,41.0
