banco,primer_mes,ultimo_mes,meses,registros,creditos
BBVA Colombia,2023-09,2026-02,30,150218,317098
Banco AV Villas,2023-09,2026-02,30,47992,77228
Banco Agrario,2023-09,2026-02,30,10481,10567
Banco Caja Social,2023-09,2026-02,30,133782,190114
Banco Davibank,2023-09,2026-02,30,98777,790536
Banco Davivienda,2023-09,2026-02,30,306464,751156
Banco Falabella,2023-09,2026-02,30,191451,515158
Banco GNB Sudameris,2023-09,2026-02,30,232,234
Banco Mundo Mujer,2023-09,2026-02,30,121967,202665
Banco Popular,2023-09,2026-02,30,1540,1935
Banco Serfinanza,2023-09,2026-02,30,14663,19205
Banco Unión,2023-09,2026-02,30,532,555
Banco de Bogotá,2023-09,2026-02,30,408249,1055340
Banco de Occidente,2023-09,2026-02,30,38862,81332
Bancolombia,2023-09,2026-02,30,466376,1419584
Bancoomeva,2023-09,2026-02,30,27954,33875
Coopcentral,2023-09,2026-02,30,376,377
Finandina,2023-09,2026-02,30,11064,16028
Itaú,2023-09,2026-02,30,24458,43631
Lulo Bank,2023-09,2026-02,30,84813,158516
MiBanco,2023-09,2025-11,23,96,96
Banco Santander,2024-05,2026-02,16,120,146
Bancien,2023-09,2026-01,15,3560,4709
Banco Pichincha,2023-09,2025-05,12,387,463
Banco Contactar,2024-03,2025-12,8,2845,3125
