mes,bancos,rangos,registros,creditos
2023-09,23,6,16267,70333
2023-10,23,6,65739,288908
2023-11,23,6,65657,294188
2023-12,23,6,70220,327047
2024-01,22,6,47890,110003
2024-02,23,6,52901,121458
2024-03,24,6,63274,142154
2024-04,23,6,55974,134712
2024-05,24,6,72686,176040
2024-06,23,6,55122,130894
2024-07,23,6,58549,140340
2024-08,23,6,77603,190664
2024-09,24,6,67345,164854
2024-10,22,6,71136,183781
2024-11,22,6,86199,216275
2024-12,22,6,63262,153811
2025-01,22,6,86383,232019
2025-02,22,6,79180,197209
2025-03,23,6,75528,189706
2025-04,22,6,83572,233145
2025-05,24,6,102391,256266
2025-06,22,6,63712,150985
2025-07,22,6,70793,170999
2025-08,22,6,88316,209904
2025-09,21,6,79164,193035
2025-10,21,6,100971,250337
2025-11,22,6,81051,198740
2025-12,22,6,77139,180612
2026-01,21,6,89105,204077
2026-02,21,6,80130,181177
