banco,banco_original,primer_mes,ultimo_mes,registros,creditos
BBVA Colombia,BBVA Colombia,2023-09,2026-02,150218,317098
Bancien,Bancien,2023-09,2026-01,3560,4709
Banco AV Villas,AV Villas,2023-09,2026-02,47992,77228
Banco Agrario,Banagrario,2023-09,2026-02,10481,10567
Banco Caja Social,Banco Caja Social S.A.,2023-09,2026-02,133782,190114
Banco Contactar,Banco Contactar,2024-03,2025-12,2845,3125
Banco Davibank,Scotiabank Colpatria S.A.,2023-09,2025-09,82071,738047
Banco Davibank,Banco Davibank,2025-10,2026-02,16706,52489
Banco Davivienda,Banco Davivienda,2023-09,2026-02,306464,751156
Banco Falabella,Banco Falabella S.A.,2023-09,2026-02,191451,515158
Banco GNB Sudameris,Banco GNB Sudameris,2023-09,2026-02,232,234
Banco Mundo Mujer,Banco Mundo Mujer S.A.,2023-09,2026-02,121967,202665
Banco Pichincha,Banco Pichincha S.A.,2023-09,2025-05,387,463
Banco Popular,Banco Popular,2023-09,2026-02,1540,1935
Banco Santander,Banco Santander,2024-05,2026-02,120,146
Banco Serfinanza,Banco Serfinanza S.A.,2023-09,2026-02,14663,19205
Banco Unión,Banco Unión,2023-09,2026-02,532,555
Banco de Bogotá,Banco de Bogotá,2023-09,2026-02,408249,1055340
Banco de Occidente,Banco de Occidente,2023-09,2026-02,38862,81332
Bancolombia,Bancolombia,2023-09,2026-02,466376,1419584
Bancoomeva,Bancoomeva,2023-09,2026-02,27954,33875
Coopcentral,Coopcentral,2023-09,2026-02,376,377
Finandina,Finandina,2023-09,2026-02,11064,16028
Itaú,Itaú,2023-09,2026-02,24458,43631
Lulo Bank,Lulo Bank,2023-09,2026-02,84813,158516
MiBanco,Mibanco S.A.,2023-09,2025-11,96,96
