fecha_corte,mes,nombre_tipo_entidad,tipo_de_cr_dito,producto_de_cr_dito,banco_original,banco,rango_monto_desembolsado,rango_no_informado,rango_orden,rango_monto,tasa_efectiva_promedio,numero_de_creditos,valor_ponderado_tasa,mes_descarga
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,28.94,2,57.88,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,17.99,112,2014.8799999999999,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,21.75,1,21.75,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,15.93,238,3791.34,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,17.5,1,17.5,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,17.76,147,2610.7200000000003,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,16.08,93,1495.4399999999998,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,17.5,1,17.5,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,17.1,13,222.3,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,16.4,286,4690.4,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,15.93,89,1417.77,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,AV Villas,Banco AV Villas,N/A,True,,,22.71,19,431.49,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banagrario,Banco Agrario,N/A,True,,,23.12,41,947.9200000000001,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banagrario,Banco Agrario,N/A,True,,,26.97,31,836.0699999999999,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banagrario,Banco Agrario,N/A,True,,,19.78,17,336.26,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banagrario,Banco Agrario,N/A,True,,,22.01,35,770.35,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banagrario,Banco Agrario,N/A,True,,,15.37,1,15.37,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banagrario,Banco Agrario,N/A,True,,,27.5,18,495.0,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banagrario,Banco Agrario,N/A,True,,,19.96,28,558.88,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banagrario,Banco Agrario,N/A,True,,,30.86,1,30.86,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banco Caja Social S.A.,Banco Caja Social,N/A,True,,,24.99,295,7372.049999999999,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banco Caja Social S.A.,Banco Caja Social,N/A,True,,,25.98,280,7274.400000000001,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banco Caja Social S.A.,Banco Caja Social,N/A,True,,,21.34,517,11032.78,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banco Caja Social S.A.,Banco Caja Social,N/A,True,,,28.52,132,3764.64,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banco Caja Social S.A.,Banco Caja Social,N/A,True,,,28.36,151,4282.36,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banco Caja Social S.A.,Banco Caja Social,N/A,True,,,21.27,486,10337.22,2022-07
2022-07-01,2022-07,BC-ESTABLECIMIENTO BANCARIO,Consumo,Libre inversión,Banco Davivienda,Banco Davivienda,N/A,True,,,27.98,1073,30022.54,2022-07
