banco,rango_orden,rango_monto,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
Bancolombia,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,636053,13999.0,21.948839179800036,36.68558916844979,4.597146349697063,30,1.0,True
Banco Davibank,6,Mayor a 100 SMLMV,2023-09,2026-02,30,28,571037,6208.5,20.267688067444876,41.828934432077624,5.991243140053598,30,1.0,True
Banco de Bogotá,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,383839,12340.0,23.87941534460338,37.25532175689479,4.496501886169531,30,1.0,True
Banco de Bogotá,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,291863,9990.0,23.6073846390879,36.538372429771215,4.363867322658539,30,1.0,True
Bancolombia,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,237005,8510.0,22.10983949875547,32.95022566995769,3.500897270241108,30,1.0,True
Banco de Bogotá,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,213587,6923.0,23.14285822347093,35.332474170744966,4.121138205934537,30,1.0,True
Bancolombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,200974,6219.5,20.929514184828932,31.455166666666667,3.5056430014850233,30,1.0,True
Banco Davivienda,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,180929,5528.0,21.112793670886077,32.476996658312444,3.7368615437819592,30,1.0,True
Banco Falabella,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,179199,6099.5,23.07053978311198,37.774047494325124,4.735159910516205,30,1.0,True
Bancolombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,170218,5449.5,19.36099427168576,30.52426940639269,3.59234025889659,30,1.0,True
Banco Davivienda,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,167132,5195.0,21.88698263501673,32.903912817851584,3.6381483531994907,30,1.0,True
Banco Davivienda,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,163549,5515.0,19.759501506024097,31.41181510710259,3.686721855556516,30,1.0,True
Banco Falabella,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,162619,5647.0,23.219133736246707,37.92480812220566,4.739739090640057,30,1.0,True
Bancolombia,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,159807,5224.5,18.05439510703364,28.476577480490526,3.3759589030901105,30,1.0,True
Banco Davivienda,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,155990,4968.5,21.530964681075382,32.59056030389364,3.6232069731742245,30,1.0,True
Banco Mundo Mujer,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,117633,3815.5,24.3765666316894,41.923511777301925,5.182107471466939,30,1.0,True
Banco Falabella,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,109877,3501.5,22.510976888253516,37.550701017249004,4.2160649555606025,30,1.0,True
Banco Davibank,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,100487,1928.5,20.56574879227053,41.13461382701765,5.838096424139517,30,1.0,True
Banco de Bogotá,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,89935,3036.5,21.63298822240482,31.807261050245565,3.4552372691812265,30,1.0,True
Banco Davivienda,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,83209,3074.5,18.02497738486842,29.71311095505618,3.4221123861411806,30,1.0,True
Lulo Bank,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,70435,2186.5,20.766874704491727,31.612374269005844,3.6554830902296653,30,1.0,True
BBVA Colombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,70336,2279.0,21.28711701526286,33.29043478260869,3.9353696136806398,30,1.0,True
BBVA Colombia,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,70036,1752.5,23.185015974440898,34.19153246753247,3.892781566490088,30,1.0,True
Banco de Bogotá,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,69876,2315.5,18.193894409937887,28.404742268041236,3.1774455932016825,30,1.0,True
BBVA Colombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,67450,2154.0,20.720600722673893,32.43815905743741,3.705655332118694,30,1.0,True
Banco Mundo Mujer,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,63407,2189.5,24.38631994261119,41.928121330724075,5.18560425790512,30,1.0,True
Banco Caja Social,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,57371,1829.5,23.78086642599278,37.74373540856031,4.818968405316499,30,1.0,True
