mes,banco,suma_tasa_credito,total_creditos,registros_fuente,fecha_minima,fecha_maxima,tasa_ponderada
2023-09,BBVA Colombia,100625.71,3086,1338,2023-09-29,2023-09-29,32.60716461438756
2023-09,Bancien,4736.2,119,73,2023-09-29,2023-09-29,39.8
2023-09,Banco AV Villas,14458.19,496,338,2023-09-29,2023-09-29,29.14957661290323
2023-09,Banco Agrario,2302.88,78,77,2023-09-29,2023-09-29,29.524102564102567
2023-09,Banco Caja Social,121842.46,3601,2138,2023-09-29,2023-09-29,33.83572896417662
2023-09,Banco Davibank,1508084.2,36129,1190,2023-09-29,2023-09-29,41.7416535193335
2023-09,Banco Davivienda,170451.41,5285,2234,2023-09-29,2023-09-29,32.25192242194891
2023-09,Banco Falabella,86657.33,2486,1070,2023-09-29,2023-09-29,34.858137570394206
2023-09,Banco GNB Sudameris,25.02,1,1,2023-09-29,2023-09-29,25.02
2023-09,Banco Mundo Mujer,67555.15,1612,976,2023-09-29,2023-09-29,41.90766129032258
2023-09,Banco Pichincha,353.91,12,12,2023-09-29,2023-09-29,29.492500000000003
2023-09,Banco Popular,3574.4,120,92,2023-09-29,2023-09-29,29.78666666666667
2023-09,Banco Serfinanza,11687.9,532,346,2023-09-29,2023-09-29,21.969736842105263
2023-09,Banco Unión,125.25,3,3,2023-09-29,2023-09-29,41.75
2023-09,Banco de Bogotá,282687.42,8040,2680,2023-09-29,2023-09-29,35.16012686567164
2023-09,Banco de Occidente,39102.85,1401,565,2023-09-29,2023-09-29,27.91067094932191
2023-09,Bancolombia,170199.75,5254,1886,2023-09-29,2023-09-29,32.394318614389036
2023-09,Bancoomeva,16536.6,650,461,2023-09-29,2023-09-29,25.440923076923074
2023-09,Coopcentral,177.17000000000002,10,9,2023-09-29,2023-09-29,17.717000000000002
2023-09,Finandina,13373.15,424,274,2023-09-29,2023-09-29,31.540448113207546
2023-09,Itaú,14517.43,605,292,2023-09-29,2023-09-29,23.995752066115703
2023-09,Lulo Bank,11857.380000000001,388,211,2023-09-29,2023-09-29,30.560257731958764
2023-09,MiBanco,41.75,1,1,2023-09-29,2023-09-29,41.75
2023-10,BBVA Colombia,338406.06,10385,4777,2023-10-06,2023-10-27,32.586043331728455
2023-10,Bancien,16877.489999999998,426,312,2023-10-06,2023-10-27,39.618521126760555
2023-10,Banco AV Villas,42239.01,1538,1068,2023-10-06,2023-10-27,27.463595578673605
2023-10,Banco Agrario,5681.6,189,187,2023-10-06,2023-10-27,30.061375661375664
2023-10,Banco Caja Social,325867.23,9748,6230,2023-10-06,2023-10-27,33.429137258924904
2023-10,Banco Davibank,5907498.5,149707,4989,2023-10-06,2023-10-27,39.46040265318255
2023-10,Banco Davivienda,786091.9400000001,24358,9709,2023-10-06,2023-10-27,32.2724336973479
2023-10,Banco Falabella,660308.22,17643,5575,2023-10-06,2023-10-27,37.426073796973306
2023-10,Banco GNB Sudameris,243.81,10,9,2023-10-06,2023-10-27,24.381
2023-10,Banco Mundo Mujer,228669.09,5754,3600,2023-10-06,2023-10-27,39.74089155370177
2023-10,Banco Pichincha,672.19,28,27,2023-10-06,2023-10-27,24.006785714285716
2023-10,Banco Popular,9689.27,324,243,2023-10-06,2023-10-27,29.905154320987656
2023-10,Banco Serfinanza,24982.45,1096,712,2023-10-06,2023-10-27,22.794206204379563
2023-10,Banco Unión,591.75,15,15,2023-10-06,2023-10-27,39.45
2023-10,Banco de Bogotá,1068424.23,30306,12692,2023-10-06,2023-10-27,35.25454464462483
2023-10,Banco de Occidente,114096.71,4079,1936,2023-10-06,2023-10-27,27.971735719539105
2023-10,Bancolombia,942141.46,28232,10264,2023-10-06,2023-10-27,33.37140337206007
2023-10,Bancoomeva,42707.24,1591,1238,2023-10-06,2023-10-27,26.84301697045883
2023-10,Coopcentral,772.5,35,35,2023-10-06,2023-10-27,22.071428571428573
2023-10,Finandina,19350.739999999998,609,473,2023-10-06,2023-10-27,31.77461412151067
2023-10,Itaú,25194.49,1001,620,2023-10-06,2023-10-27,25.16932067932068
2023-10,Lulo Bank,55464.450000000004,1827,1021,2023-10-06,2023-10-27,30.358210180623978
