mes,banco,rango_orden,rango_monto,suma_tasa_credito,total_creditos,registros_fuente,fecha_minima,fecha_maxima,tasa_ponderada
2023-09,BBVA Colombia,1,Menor o igual a 3 SMLMV,13163.74,385,189,2023-09-29,2023-09-29,34.19153246753247
2023-09,BBVA Colombia,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,19855.53,578,244,2023-09-29,2023-09-29,34.35212802768166
2023-09,BBVA Colombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,26798.8,805,307,2023-09-29,2023-09-29,33.29043478260869
2023-09,BBVA Colombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,22025.510000000002,679,278,2023-09-29,2023-09-29,32.43815905743741
2023-09,BBVA Colombia,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,18196.739999999998,616,299,2023-09-29,2023-09-29,29.540162337662334
2023-09,BBVA Colombia,6,Mayor a 100 SMLMV,585.39,23,21,2023-09-29,2023-09-29,25.45173913043478
2023-09,Bancien,1,Menor o igual a 3 SMLMV,676.5999999999999,17,12,2023-09-29,2023-09-29,39.8
2023-09,Bancien,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,1233.8,31,23,2023-09-29,2023-09-29,39.8
2023-09,Bancien,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2507.3999999999996,63,34,2023-09-29,2023-09-29,39.8
2023-09,Bancien,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,318.4,8,4,2023-09-29,2023-09-29,39.8
2023-09,Banco AV Villas,1,Menor o igual a 3 SMLMV,2114.12,60,52,2023-09-29,2023-09-29,35.23533333333333
2023-09,Banco AV Villas,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2670.88,81,62,2023-09-29,2023-09-29,32.973827160493826
2023-09,Banco AV Villas,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,3006.03,99,70,2023-09-29,2023-09-29,30.363939393939397
2023-09,Banco AV Villas,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,3256.0699999999997,119,74,2023-09-29,2023-09-29,27.361932773109242
2023-09,Banco AV Villas,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,3204.73,128,71,2023-09-29,2023-09-29,25.036953125
2023-09,Banco AV Villas,6,Mayor a 100 SMLMV,206.36,9,9,2023-09-29,2023-09-29,22.928888888888892
2023-09,Banco Agrario,1,Menor o igual a 3 SMLMV,260.96000000000004,7,7,2023-09-29,2023-09-29,37.28000000000001
2023-09,Banco Agrario,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,862.88,24,24,2023-09-29,2023-09-29,35.95333333333333
2023-09,Banco Agrario,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,506.8,20,19,2023-09-29,2023-09-29,25.34
2023-09,Banco Agrario,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,459.03999999999996,20,20,2023-09-29,2023-09-29,22.951999999999998
2023-09,Banco Agrario,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,213.2,7,7,2023-09-29,2023-09-29,30.457142857142856
2023-09,Banco Caja Social,1,Menor o igual a 3 SMLMV,29100.42,771,546,2023-09-29,2023-09-29,37.74373540856031
2023-09,Banco Caja Social,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,33739.21,918,559,2023-09-29,2023-09-29,36.75295206971678
2023-09,Banco Caja Social,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,36806.61,1122,566,2023-09-29,2023-09-29,32.80446524064171
2023-09,Banco Caja Social,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,17520.39,609,341,2023-09-29,2023-09-29,28.76911330049261
2023-09,Banco Caja Social,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,4526.2300000000005,174,119,2023-09-29,2023-09-29,26.012816091954026
2023-09,Banco Caja Social,6,Mayor a 100 SMLMV,149.6,7,7,2023-09-29,2023-09-29,21.37142857142857
2023-09,Banco Davibank,1,Menor o igual a 3 SMLMV,66915.41,1592,544,2023-09-29,2023-09-29,42.03229271356784
2023-09,Banco Davibank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,40163.14,957,118,2023-09-29,2023-09-29,41.96775339602926
2023-09,Banco Davibank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,44733.92,1072,108,2023-09-29,2023-09-29,41.72940298507463
2023-09,Banco Davibank,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,41520.68,1019,174,2023-09-29,2023-09-29,40.74649656526006
2023-09,Banco Davibank,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,142202.36000000002,3457,193,2023-09-29,2023-09-29,41.13461382701765
2023-09,Banco Davibank,6,Mayor a 100 SMLMV,1172548.69,28032,53,2023-09-29,2023-09-29,41.828934432077624
2023-09,Banco Davivienda,1,Menor o igual a 3 SMLMV,63405.84,1927,723,2023-09-29,2023-09-29,32.903912817851584
2023-09,Banco Davivienda,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,34317.86,1053,443,2023-09-29,2023-09-29,32.59056030389364
2023-09,Banco Davivienda,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,37204.32,1149,500,2023-09-29,2023-09-29,32.379738903394255
2023-09,Banco Davivienda,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,24880.73,796,375,2023-09-29,2023-09-29,31.25719849246231
2023-09,Banco Davivienda,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,10614.34,359,192,2023-09-29,2023-09-29,29.566406685236768
2023-09,Banco Davivienda,6,Mayor a 100 SMLMV,28.32,1,1,2023-09-29,2023-09-29,28.32
2023-09,Banco Falabella,1,Menor o igual a 3 SMLMV,27205.99,750,283,2023-09-29,2023-09-29,36.27465333333333
2023-09,Banco Falabella,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,22150.31,617,253,2023-09-29,2023-09-29,35.90001620745543
2023-09,Banco Falabella,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,22919.18,661,278,2023-09-29,2023-09-29,34.673494704992436
2023-09,Banco Falabella,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,11759.14,366,194,2023-09-29,2023-09-29,32.12879781420765
2023-09,Banco Falabella,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2598.84,91,61,2023-09-29,2023-09-29,28.55868131868132
2023-09,Banco Falabella,6,Mayor a 100 SMLMV,23.87,1,1,2023-09-29,2023-09-29,23.87
2023-09,Banco GNB Sudameris,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,25.02,1,1,2023-09-29,2023-09-29,25.02
2023-09,Banco Mundo Mujer,1,Menor o igual a 3 SMLMV,39156.56,934,578,2023-09-29,2023-09-29,41.923511777301925
2023-09,Banco Mundo Mujer,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,21425.27,511,276,2023-09-29,2023-09-29,41.928121330724075
2023-09,Banco Mundo Mujer,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,6849.17,164,119,2023-09-29,2023-09-29,41.763231707317075
2023-09,Banco Mundo Mujer,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,124.14999999999999,3,3,2023-09-29,2023-09-29,41.38333333333333
2023-09,Banco Pichincha,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,108.07000000000001,3,3,2023-09-29,2023-09-29,36.02333333333333
2023-09,Banco Pichincha,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,169.35,6,6,2023-09-29,2023-09-29,28.224999999999998
2023-09,Banco Pichincha,6,Mayor a 100 SMLMV,76.49,3,3,2023-09-29,2023-09-29,25.496666666666666
